,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
444,zhob,31.34,69.45,65.77,62.0,100.0,8.93
445,tambopata,-12.73,-69.18,75.18,90.0,100.0,1.14
446,port keats,-14.25,129.55,82.0,38.0,36.0,12.71
447,ambilobe,-13.2,49.05,71.33,80.0,100.0,3.4
448,tessalit,20.2,1.01,86.13,29.0,39.0,7.27
449,northam,51.03,-4.22,42.01,70.0,32.0,1.99
450,hervey bay,-25.3,152.85,75.99,59.0,13.0,5.01
451,hit,33.64,42.83,80.82,23.0,65.0,6.91
452,bonthe,7.53,-12.51,80.91,84.0,6.0,5.17
453,rawson,-43.3,-65.1,49.68,58.0,9.0,17.38
455,boshan,36.48,117.83,62.51,69.0,100.0,10.0
456,kandrian,-6.22,149.55,84.88,72.0,2.0,12.46
457,kruisfontein,-34.0,24.73,54.77,77.0,2.0,7.92
458,coro,11.4,-69.67,78.04,83.0,12.0,16.35
460,muli,2.92,73.57,84.25,75.0,38.0,10.11
461,emilio carranza,19.97,-96.61,80.49,83.0,73.0,6.89
462,nevsehir,38.92,34.67,54.28,75.0,0.0,4.16
463,zhangye,38.93,100.45,66.61,25.0,81.0,6.17
464,barra do garcas,-15.89,-52.26,72.77,72.0,100.0,1.25
465,kahului,20.89,-156.47,84.2,58.0,40.0,23.04
466,uri,34.08,74.03,59.74,66.0,100.0,4.03
467,waddan,29.16,16.14,81.27,13.0,0.0,9.73
468,torbay,47.67,-52.73,39.0,87.0,75.0,14.99
469,banda aceh,5.56,95.32,82.17,78.0,100.0,6.29
470,batagay-alyta,67.8,130.41,31.71,98.0,100.0,2.04
471,uglovskoye,51.36,80.19,71.89,41.0,0.0,2.91
472,asasa,7.1,39.2,54.01,77.0,3.0,5.75
